"","name","year","rating","synopsis"
"1","The Lord of the Rings: The Return of the King","(2003)","8.9","
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"2","Inception","(2010)","8.8","
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
"3","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"4","The Lord of the Rings: The Two Towers","(2002)","8.7","
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"5","Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","
    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
"6","Interstellar","(2014)","8.6","
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"7","Sen to Chihiro no kamikakushi","(2001)","8.6","
    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
"8","Star Wars","(1977)","8.6","
    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"9","Shichinin no samurai","(1954)","8.6","
    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves."
"10","Gladiator","(2000)","8.5","
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"11","The Lion King","(1994)","8.5","
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"12","Back to the Future","(1985)","8.5","
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
"13","Spider-Man: Into the Spider-Verse","(2018)","8.4","
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
"14","Avengers: Endgame","(2019)","8.4","
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"15","Avengers: Infinity War","(2018)","8.4","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"16","Coco","(I) (2017)","8.4","
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"17","The Dark Knight Rises","(2012)","8.4","
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
"18","WALL·E","(2008)","8.4","
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
"19","Mononoke-hime","(1997)","8.4","
    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
"20","Raiders of the Lost Ark","(1981)","8.4","
    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
"21","Inglourious Basterds","(2009)","8.3","
    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
"22","Toy Story","(1995)","8.3","
    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
"23","Aliens","(1986)","8.3","
    Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
"24","Star Wars: Episode VI - Return of the Jedi","(1983)","8.3","
    After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
"25","Das Boot","(1981)","8.3","
    The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
"26","2001: A Space Odyssey","(1968)","8.3","
    After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
"27","Lawrence of Arabia","(1962)","8.3","
    The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
"28","North by Northwest","(1959)","8.3","
    A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies."
"29","Klaus","(2019)","8.2","
    A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
"30","Queen","(2013)","8.2","
    A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled."
"31","Up","(2009)","8.2","
    78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
"32","Toy Story 3","(2010)","8.2","
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"33","Batman Begins","(2005)","8.2","
    After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
"34","Hauru no ugoku shiro","(2004)","8.2","
    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
"35","Indiana Jones and the Last Crusade","(1989)","8.2","
    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
"36","Sholay","(1975)","8.2","
    After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
"37","Monty Python and the Holy Grail","(1975)","8.2","
    King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
"38","The Great Escape","(1963)","8.2","
    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II."
"39","The Treasure of the Sierra Madre","(1948)","8.2","
    Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
"40","The Gold Rush","(1925)","8.2","
    A prospector goes to the Klondike in search of gold and finds it and more."
"41","Soul","(2020)","8.1","
    After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
"42","The Grand Budapest Hotel","(2014)","8.1","
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
"43","Inside Out","(I) (2015)","8.1","
    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
"44","Song of the Sea","(2014)","8.1","
    Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
"45","Mad Max: Fury Road","(2015)","8.1","
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
